key,genre,date,value,console,total,company
Assassin's Creed III(PlayStation 3),Action,1/7/13,,PlayStation 3,2.325348,Ubisoft
Assassin's Creed III(PlayStation 3),Action,1/8/13,,PlayStation 3,2.325348,Ubisoft
Assassin's Creed III(PlayStation 3),Action,1/9/13,,PlayStation 3,2.325348,Ubisoft
Assassin's Creed III(PlayStation 3),Action,1/10/13,,PlayStation 3,2.325348,Ubisoft
Assassin's Creed III(PlayStation 3),Action,1/11/13,,PlayStation 3,2.325348,Ubisoft
Assassin's Creed III(PlayStation 3),Action,1/12/13,1.876144,PlayStation 3,2.325348,Ubisoft
Assassin's Creed III(PlayStation 3),Action,1/13/13,0.292817,PlayStation 3,2.325348,Ubisoft
Assassin's Creed III(PlayStation 3),Action,1/14/13,0.138362,PlayStation 3,2.325348,Ubisoft
Grand Theft Auto V(Xbox 360),Action,1/5/13,,Xbox 360,8.100684,Take-Two Interactive
Grand Theft Auto V(Xbox 360),Action,1/6/13,,Xbox 360,8.100684,Take-Two Interactive
Grand Theft Auto V(Xbox 360),Action,1/7/13,,Xbox 360,8.100684,Take-Two Interactive
Grand Theft Auto V(Xbox 360),Action,1/8/13,,Xbox 360,8.100684,Take-Two Interactive
Grand Theft Auto V(Xbox 360),Action,1/9/13,,Xbox 360,8.100684,Take-Two Interactive
Grand Theft Auto V(Xbox 360),Action,1/10/13,,Xbox 360,8.100684,Take-Two Interactive
Grand Theft Auto V(Xbox 360),Action,1/11/13,,Xbox 360,8.100684,Take-Two Interactive
Grand Theft Auto V(Xbox 360),Action,1/12/13,,Xbox 360,8.100684,Take-Two Interactive
Grand Theft Auto V(Xbox 360),Action,1/13/13,7.052092,Xbox 360,8.100684,Take-Two Interactive
Grand Theft Auto V(Xbox 360),Action,1/14/13,0.969639,Xbox 360,8.100684,Take-Two Interactive
Grand Theft Auto V(PlayStation 3),Action,1/5/13,,PlayStation 3,5.916434,Take-Two Interactive
Grand Theft Auto V(PlayStation 3),Action,1/6/13,,PlayStation 3,5.916434,Take-Two Interactive
Grand Theft Auto V(PlayStation 3),Action,1/7/13,,PlayStation 3,5.916434,Take-Two Interactive
Grand Theft Auto V(PlayStation 3),Action,1/8/13,,PlayStation 3,5.916434,Take-Two Interactive
Grand Theft Auto V(PlayStation 3),Action,1/9/13,,PlayStation 3,5.916434,Take-Two Interactive
Grand Theft Auto V(PlayStation 3),Action,1/10/13,,PlayStation 3,5.916434,Take-Two Interactive
Grand Theft Auto V(PlayStation 3),Action,1/11/13,,PlayStation 3,5.916434,Take-Two Interactive
Grand Theft Auto V(PlayStation 3),Action,1/12/13,,PlayStation 3,5.916434,Take-Two Interactive
Grand Theft Auto V(PlayStation 3),Action,1/13/13,5.117996,PlayStation 3,5.916434,Take-Two Interactive
Grand Theft Auto V(PlayStation 3),Action,1/14/13,0.73837,PlayStation 3,5.916434,Take-Two Interactive
Destiny(PlayStation 4),Action,1/5/13,,PlayStation 4,1.867692,Activision
Destiny(PlayStation 4),Action,1/6/13,,PlayStation 4,1.867692,Activision
Destiny(PlayStation 4),Action,1/7/13,,PlayStation 4,1.867692,Activision
Destiny(PlayStation 4),Action,1/8/13,,PlayStation 4,1.867692,Activision
Destiny(PlayStation 4),Action,1/9/13,,PlayStation 4,1.867692,Activision
Destiny(PlayStation 4),Action,1/10/13,,PlayStation 4,1.867692,Activision
Destiny(PlayStation 4),Action,1/11/13,,PlayStation 4,1.867692,Activision
Destiny(PlayStation 4),Action,1/12/13,,PlayStation 4,1.867692,Activision
Destiny(PlayStation 4),Action,1/13/13,,PlayStation 4,1.867692,Activision
Destiny(PlayStation 4),Action,1/14/13,1.790884,PlayStation 4,1.867692,Activision
Grand Theft Auto V(PlayStation 4),Action,1/5/13,,PlayStation 4,1.89022,Take-Two Interactive
Grand Theft Auto V(PlayStation 4),Action,1/6/13,,PlayStation 4,1.89022,Take-Two Interactive
Grand Theft Auto V(PlayStation 4),Action,1/7/13,,PlayStation 4,1.89022,Take-Two Interactive
Grand Theft Auto V(PlayStation 4),Action,1/8/13,,PlayStation 4,1.89022,Take-Two Interactive
Grand Theft Auto V(PlayStation 4),Action,1/9/13,,PlayStation 4,1.89022,Take-Two Interactive
Grand Theft Auto V(PlayStation 4),Action,1/10/13,,PlayStation 4,1.89022,Take-Two Interactive
Grand Theft Auto V(PlayStation 4),Action,1/11/13,,PlayStation 4,1.89022,Take-Two Interactive
Grand Theft Auto V(PlayStation 4),Action,1/12/13,,PlayStation 4,1.89022,Take-Two Interactive
Grand Theft Auto V(PlayStation 4),Action,1/13/13,,PlayStation 4,1.89022,Take-Two Interactive
Grand Theft Auto V(PlayStation 4),Action,1/14/13,1.598237,PlayStation 4,1.89022,Take-Two Interactive
